,order,species,adult_body_mass_g,adult_head_body_len_mm,home_range_km2,litter_size,habitat
3114,Rodentia,Notomys aquilo,38.99,103.19,NA,NA,T
3115,Rodentia,Notomys cervinus,34.79,100.8,NA,2.95,T
3116,Rodentia,Notomys fuscus,39.28,120.81,NA,3.07,T
3117,Rodentia,Notomys longicaudatus,100,138.19,NA,NA,T
3118,Rodentia,Notomys macrotis,89.99,117.99,NA,NA,T
3119,Rodentia,Notomys mitchellii,42.8,113.31,NA,3.28,T
3120,Rodentia,Notomys mordax,89.99,NA,NA,NA,T
3177,Rodentia,Nyctomys sumichrasti,59.99,NA,NA,2,T
3191,Rodentia,Ochrotomys nuttalli,22.81,92.18,0.003362546,2.62,T
3192,Rodentia,Octodon bridgesi,162.25,159.62,NA,NA,T
3193,Rodentia,Octodon degus,203.27,280,NA,5.31,T
3194,Rodentia,Octodon lunatus,200.55,NA,NA,NA,T
3195,Rodentia,Octodon pacificus,NA,NA,NA,NA,T
3196,Rodentia,Octodontomys gliroides,155.77,NA,NA,2.04,T
3197,Rodentia,Octomys mimax,124.43,NA,NA,NA,T
3201,Rodentia,Oecomys auyantepui,NA,NA,NA,NA,T
3202,Rodentia,Oecomys bicolor,40.74,NA,NA,3.15,T
3203,Rodentia,Oecomys catherinae,NA,NA,NA,NA,T
3204,Rodentia,Oecomys cleberi,73.4,NA,NA,NA,T
2969,Rodentia,Oecomys concolor,46.33,NA,NA,2.95,T
2970,Rodentia,Oecomys flavicans,73.4,NA,NA,NA,T
2971,Rodentia,Oecomys mamorae,62.5,NA,NA,NA,T
2972,Rodentia,Oecomys paricola,73.4,NA,NA,NA,T
2973,Rodentia,Oecomys phaeotis,73.4,NA,NA,NA,T
2974,Rodentia,Oecomys rex,73.4,NA,NA,NA,T
2975,Rodentia,Oecomys roberti,73.4,NA,NA,NA,T
2976,Rodentia,Oecomys rutilus,73.4,NA,NA,NA,T
2977,Rodentia,Oecomys speciosus,73.4,NA,NA,NA,T
2978,Rodentia,Oecomys superans,73.4,NA,NA,NA,T
2979,Rodentia,Oecomys trinitatis,73.4,NA,NA,NA,T
2980,Rodentia,Oenomys hypoxanthus,89.84,NA,NA,2.81,T
2981,Rodentia,Oenomys ornatus,85.5,NA,NA,NA,T
2983,Rodentia,Olallamys albicauda,273.5,NA,NA,NA,T
2984,Rodentia,Olallamys edax,206.4,NA,NA,NA,T
2985,Rodentia,Oligoryzomys andinus,25.2,NA,NA,NA,T
2986,Rodentia,Oligoryzomys arenalis,25.2,NA,NA,NA,T
2987,Rodentia,Oligoryzomys brendae,NA,NA,NA,NA,T
2988,Rodentia,Oligoryzomys chacoensis,23,NA,NA,NA,T
2989,Rodentia,Oligoryzomys delticola,29.39,NA,NA,3.3,T
2990,Rodentia,Oligoryzomys destructor,25.2,NA,NA,NA,T
2991,Rodentia,Oligoryzomys eliurus,34.58,NA,NA,NA,T
2992,Rodentia,Oligoryzomys flavescens,21.3,NA,NA,4.95,T
2993,Rodentia,Oligoryzomys fornesi,NA,NA,NA,NA,T
2994,Rodentia,Oligoryzomys fulvescens,25,NA,NA,3.64,T
2995,Rodentia,Oligoryzomys griseolus,25.2,NA,NA,NA,T
2996,Rodentia,Oligoryzomys longicaudatus,27.54,NA,0.000641437,4.77,T
2997,Rodentia,Oligoryzomys magellanicus,25.2,NA,NA,NA,T
2998,Rodentia,Oligoryzomys microtis,22.5,NA,NA,NA,T
2999,Rodentia,Oligoryzomys nigripes,20.33,61.7,NA,3.59,T
3000,Rodentia,Oligoryzomys stramineus,NA,NA,NA,NA,T
3001,Rodentia,Oligoryzomys vegetus,NA,NA,NA,NA,T
3002,Rodentia,Oligoryzomys victus,NA,NA,NA,NA,T
3004,Rodentia,Ondatra zibethicus,991.31,276.67,0.003209364,6.55,T
3008,Rodentia,Onychomys arenicola,30,NA,NA,NA,T
3205,Rodentia,Onychomys leucogaster,27.92,103.46,0.02,3.84,T
3206,Rodentia,Onychomys torridus,21.68,94.8,0.01,3.3,T
3213,Rodentia,Orthogeomys cavator,650,NA,NA,NA,T
3214,Rodentia,Orthogeomys cherriei,NA,NA,NA,NA,T
3215,Rodentia,Orthogeomys cuniculus,499.99,NA,NA,NA,T
3216,Rodentia,Orthogeomys dariensis,437.99,NA,NA,NA,T
3217,Rodentia,Orthogeomys grandis,499.99,NA,NA,NA,T
3218,Rodentia,Orthogeomys heterodus,615,NA,NA,NA,T
3219,Rodentia,Orthogeomys hispidus,499.99,NA,NA,1.97,T
3220,Rodentia,Orthogeomys lanius,499.99,NA,NA,NA,T
3221,Rodentia,Orthogeomys matagalpae,NA,NA,NA,NA,T
3222,Rodentia,Orthogeomys thaeleri,NA,NA,NA,NA,T
3223,Rodentia,Orthogeomys underwoodi,250,NA,NA,NA,T
3230,Rodentia,Oryzomys albigularis,60.5,NA,NA,3.4,T
3231,Rodentia,Oryzomys alfaroi,33.3,NA,NA,3.59,T
3232,Rodentia,Oryzomys angouya,120.17,NA,NA,NA,T
3233,Rodentia,Oryzomys auriventer,60.5,NA,NA,NA,T
3234,Rodentia,Oryzomys balneator,60.5,NA,NA,NA,T
3235,Rodentia,Oryzomys bolivaris,60.5,116.02,NA,3.23,T
3236,Rodentia,Oryzomys caracolus,NA,NA,NA,NA,T
3237,Rodentia,Oryzomys chapmani,49.99,NA,NA,NA,T
3238,Rodentia,Oryzomys couesi,69.29,NA,NA,3.63,T
3009,Rodentia,Oryzomys curasoae,NA,NA,NA,NA,T
3010,Rodentia,Oryzomys devius,NA,NA,NA,NA,T
3011,Rodentia,Oryzomys dimidiatus,NA,NA,NA,NA,T
3012,Rodentia,Oryzomys emmonsae,NA,NA,NA,NA,T
3013,Rodentia,Oryzomys galapagoensis,63.51,112.71,NA,NA,T
3014,Rodentia,Oryzomys gorgasi,60.5,NA,NA,NA,T
3015,Rodentia,Oryzomys hammondi,60.5,NA,NA,NA,T
3016,Rodentia,Oryzomys keaysi,58.29,NA,NA,NA,T
3017,Rodentia,Oryzomys lamia,60.5,NA,NA,NA,T
3018,Rodentia,Oryzomys laticeps,49.11,NA,NA,NA,T
3019,Rodentia,Oryzomys legatus,61.5,NA,NA,NA,T
3020,Rodentia,Oryzomys levipes,60.5,NA,NA,NA,T
3021,Rodentia,Oryzomys macconnelli,66.49,NA,NA,NA,T
3022,Rodentia,Oryzomys maracajuensis,NA,NA,NA,NA,T
3023,Rodentia,Oryzomys marinhus,NA,NA,NA,NA,T
3024,Rodentia,Oryzomys megacephalus,57,122.13,0.006039781,3.72,T
3025,Rodentia,Oryzomys melanotis,49.99,NA,NA,3.88,T
3026,Rodentia,Oryzomys meridensis,NA,NA,NA,NA,T
3027,Rodentia,Oryzomys nelsoni,NA,NA,NA,NA,T
3028,Rodentia,Oryzomys nitidus,55.19,NA,NA,NA,T
3029,Rodentia,Oryzomys palustris,53.26,133.5,0.002784913,4.08,T
3030,Rodentia,Oryzomys perenensis,NA,NA,NA,NA,T
3031,Rodentia,Oryzomys polius,60.5,NA,NA,NA,T
3032,Rodentia,Oryzomys rhabdops,NA,NA,NA,NA,T
3033,Rodentia,Oryzomys rostratus,NA,NA,NA,NA,T
3034,Rodentia,Oryzomys russatus,60.5,NA,NA,NA,T
3035,Rodentia,Oryzomys saturatior,NA,NA,NA,NA,T
3036,Rodentia,Oryzomys scotti,NA,NA,NA,NA,T
3239,Rodentia,Oryzomys seuanezi,NA,NA,NA,NA,T
3240,Rodentia,Oryzomys subflavus,49.91,160,NA,4.37,T
3241,Rodentia,Oryzomys talamancae,54.99,NA,NA,NA,T
3242,Rodentia,Oryzomys tatei,NA,NA,NA,NA,T
3243,Rodentia,Oryzomys xanthaeolus,79.79,NA,NA,NA,T
3244,Rodentia,Oryzomys yunganus,60.5,NA,NA,NA,T
3247,Rodentia,Osgoodomys banderanus,49.99,NA,NA,1.68,T
3260,Rodentia,Otomys anchietae,NA,NA,NA,NA,T
3261,Rodentia,Otomys angoniensis,100.64,150.24,NA,2.86,T
3262,Rodentia,Otomys barbouri,NA,NA,NA,NA,T
3263,Rodentia,Otomys burtoni,NA,NA,NA,NA,T
3264,Rodentia,Otomys cuanzensis,NA,NA,NA,NA,T
3265,Rodentia,Otomys dartmouthi,NA,NA,NA,NA,T
3266,Rodentia,Otomys denti,120,NA,NA,1.59,T
3267,Rodentia,Otomys dollmani,NA,NA,NA,NA,T
3268,Rodentia,Otomys irroratus,114.45,163.48,0.001303714,1.65,T
3269,Rodentia,Otomys jacksoni,NA,NA,NA,NA,T
3270,Rodentia,Otomys lacustris,NA,NA,NA,NA,T
3271,Rodentia,Otomys laminatus,150,NA,NA,NA,T
3272,Rodentia,Otomys maximus,192,182.45,NA,3.7,T
3273,Rodentia,Otomys occidentalis,NA,NA,NA,NA,T
3274,Rodentia,Otomys orestes,NA,NA,NA,NA,T
3275,Rodentia,Otomys saundersiae,NA,NA,NA,NA,T
3276,Rodentia,Otomys tropicalis,NA,NA,NA,1.29,T
3277,Rodentia,Otomys typus,NA,NA,NA,1.7,T
3278,Rodentia,Otomys uzungwensis,NA,NA,NA,NA,T
3280,Rodentia,Otonyctomys hatti,36.2,NA,NA,NA,T
3282,Rodentia,Ototylomys phyllotis,86.94,152.54,NA,2.2,T
3290,Rodentia,Oxymycterus akodontius,67.99,NA,NA,NA,T
3291,Rodentia,Oxymycterus amazonicus,NA,NA,NA,NA,T
3292,Rodentia,Oxymycterus angularis,67.99,NA,NA,NA,T
3293,Rodentia,Oxymycterus caparoae,NA,NA,NA,NA,T
3294,Rodentia,Oxymycterus dasytrichus,NA,NA,NA,NA,T
3295,Rodentia,Oxymycterus delator,81.49,NA,NA,NA,T
3296,Rodentia,Oxymycterus hiska,67.99,NA,NA,NA,T
3297,Rodentia,Oxymycterus hispidus,36.75,NA,NA,NA,T
3298,Rodentia,Oxymycterus hucucha,67.99,NA,NA,NA,T
3299,Rodentia,Oxymycterus inca,34.99,NA,NA,NA,T
3300,Rodentia,Oxymycterus josei,NA,NA,NA,NA,T
3301,Rodentia,Oxymycterus nasutus,67.99,NA,NA,NA,T
3302,Rodentia,Oxymycterus paramensis,41.99,NA,NA,NA,T
3303,Rodentia,Oxymycterus quaestor,NA,NA,NA,NA,T
3304,Rodentia,Oxymycterus roberti,83.71,100,NA,NA,T
3305,Rodentia,Oxymycterus rufus,82.01,NA,NA,2.51,T
3307,Rodentia,Pachyuromys duprasi,47.5,NA,NA,3.49,T
3310,Rodentia,Palawanomys furvus,NA,144.99,NA,NA,T
3334,Rodentia,Papagomys armandvillei,NA,NA,NA,NA,T
3335,Rodentia,Papagomys theodorverhoeveni,NA,NA,NA,NA,T
3341,Rodentia,Pappogeomys alcorni,150,NA,NA,NA,T
3342,Rodentia,Pappogeomys bulleri,150,NA,NA,0.97,T
3348,Rodentia,Paradipus ctenodactylus,NA,NA,NA,3.4,T
3356,Rodentia,Parahydromys asper,526.66,213.59,NA,NA,T
3357,Rodentia,Paraleptomys rufilatus,54.99,126.78,NA,NA,T
3358,Rodentia,Paraleptomys wilhelmina,33.68,118.87,NA,NA,T
3359,Rodentia,Paralomys gerbillus,17.4,NA,NA,NA,T
3360,Rodentia,Paramelomys gressitti,NA,NA,NA,NA,T
3361,Rodentia,Paramelomys levipes,82.81,151,NA,1.52,T
3362,Rodentia,Paramelomys lorentzii,150,175,NA,1.07,T
3363,Rodentia,Paramelomys mollis,90.05,145.69,NA,1.69,T
3364,Rodentia,Paramelomys moncktoni,80.56,147.48,NA,2.15,T
3365,Rodentia,Paramelomys naso,NA,170.41,NA,NA,T
3366,Rodentia,Paramelomys platyops,85.6,128.75,NA,1.94,T
3367,Rodentia,Paramelomys rubex,47.16,115.97,0.007363214,2,T
3368,Rodentia,Paramelomys steini,NA,125.78,NA,NA,T
3375,Rodentia,Paraxerus alexandri,50.73,115.65,NA,0.97,T
3376,Rodentia,Paraxerus boehmi,70.24,125.62,NA,1.06,T
3377,Rodentia,Paraxerus cepapi,222.85,172.74,0.004512132,2.02,T
3378,Rodentia,Paraxerus cooperi,250,NA,NA,NA,T
3379,Rodentia,Paraxerus flavovittis,160,178.46,NA,1.22,T
3380,Rodentia,Paraxerus lucifer,692.45,243.07,NA,NA,T
3381,Rodentia,Paraxerus ochraceus,104.3,160.02,NA,2.2,T
3382,Rodentia,Paraxerus palliatus,365.37,209.57,0.02,1.6,T
3383,Rodentia,Paraxerus poensis,100,191.78,NA,1.5,T
3384,Rodentia,Paraxerus vexillarius,675,NA,NA,NA,T
3385,Rodentia,Paraxerus vincenti,NA,NA,NA,NA,T
3387,Rodentia,Parotomys brantsii,129.5,NA,NA,2.04,T
3388,Rodentia,Parotomys littledalei,126.99,NA,NA,2.91,T
3389,Rodentia,Paruromys dominator,325.31,NA,NA,NA,T
3390,Rodentia,Paulamys naso,NA,NA,NA,NA,T
3391,Rodentia,Pearsonomys annectens,NA,NA,NA,NA,T
3393,Rodentia,Pectinator spekei,169.7,NA,NA,1.17,T
3394,Rodentia,Pedetes capensis,2549.25,NA,NA,0.98,T
3395,Rodentia,Pedetes surdaster,NA,NA,NA,NA,T
2963,Rodentia,Pelomys campanae,NA,NA,NA,NA,T
2964,Rodentia,Pelomys fallax,120.46,NA,NA,4,T
2965,Rodentia,Pelomys hopkinsi,NA,NA,NA,NA,T
2966,Rodentia,Pelomys isseli,59.99,NA,NA,NA,T
2967,Rodentia,Pelomys minor,49.99,NA,NA,2.5,T
3403,Rodentia,Perognathus alticolus,23.99,75.51,NA,NA,T
3404,Rodentia,Perognathus amplus,11.97,NA,NA,NA,T
3405,Rodentia,Perognathus fasciatus,11.29,69.34,NA,5.48,T
3406,Rodentia,Perognathus flavescens,9.21,69.29,0.000329061,4.37,T
3407,Rodentia,Perognathus flavus,7.97,59.6,0.001896819,3.94,T
3408,Rodentia,Perognathus inornatus,10.16,72.23,0.000176546,4,T
3409,Rodentia,Perognathus longimembris,8.07,NA,0.002322898,4.45,T
3410,Rodentia,Perognathus merriami,6.94,58.7,0.008251478,4.18,T
3411,Rodentia,Perognathus parvus,21.56,81.57,0.001580096,4.86,T
3412,Rodentia,Peromyscus attwateri,27.9,NA,0.00180695,3.53,T
3413,Rodentia,Peromyscus aztecus,34,112,NA,3.49,T
3414,Rodentia,Peromyscus beatae,NA,NA,NA,NA,T
3415,Rodentia,Peromyscus boylii,23.9,NA,0.002848598,3.18,T
3416,Rodentia,Peromyscus bullatus,40,NA,NA,NA,T
3417,Rodentia,Peromyscus californicus,42.68,116,0.001126808,1.94,T
3418,Rodentia,Peromyscus caniceps,NA,89.99,NA,NA,T
3419,Rodentia,Peromyscus crinitus,16.32,82.84,0.003136673,3.08,T
3420,Rodentia,Peromyscus dickeyi,28.6,100.79,NA,NA,T
3421,Rodentia,Peromyscus difficilis,27.95,NA,NA,3.88,T
3422,Rodentia,Peromyscus eremicus,22.73,91.4,0.002263355,2.52,T
3423,Rodentia,Peromyscus eva,21.99,NA,NA,NA,T
3424,Rodentia,Peromyscus fraterculus,NA,NA,NA,NA,T
3425,Rodentia,Peromyscus furvus,32.99,NA,NA,1.94,T
3426,Rodentia,Peromyscus gossypinus,27.68,98.51,0.00396074,3.7,T
3427,Rodentia,Peromyscus grandis,71,NA,NA,2.43,T
3428,Rodentia,Peromyscus gratus,27.35,NA,NA,NA,T
3429,Rodentia,Peromyscus guardia,NA,NA,NA,NA,T
3430,Rodentia,Peromyscus guatemalensis,40,NA,NA,1.94,T
3431,Rodentia,Peromyscus gymnotis,40,NA,NA,NA,T
3432,Rodentia,Peromyscus hooperi,35.99,NA,NA,3.09,T
3433,Rodentia,Peromyscus hylocetes,NA,NA,NA,NA,T
3434,Rodentia,Peromyscus interparietalis,NA,NA,NA,2.39,T
3435,Rodentia,Peromyscus keeni,28.25,93.49,0.003267089,5.99,T
3436,Rodentia,Peromyscus leucopus,18.07,94.41,0.000886749,4.27,T
3437,Rodentia,Peromyscus levipes,NA,NA,NA,NA,T
3452,Rodentia,Peromyscus madrensis,NA,NA,NA,2.91,T
3453,Rodentia,Peromyscus maniculatus,19.98,95.75,0.002028926,4.76,T
3454,Rodentia,Peromyscus mayensis,NA,NA,NA,NA,T
3455,Rodentia,Peromyscus megalops,66.2,NA,NA,2,T
3456,Rodentia,Peromyscus mekisturus,59.99,NA,NA,NA,T
3457,Rodentia,Peromyscus melanocarpus,58.9,125.12,NA,2.23,T
3458,Rodentia,Peromyscus melanophrys,40,NA,NA,2.91,T
3459,Rodentia,Peromyscus melanotis,39.59,NA,0.000513365,3.69,T
3460,Rodentia,Peromyscus melanurus,40,NA,NA,2.75,T
3461,Rodentia,Peromyscus merriami,40,NA,NA,3.4,T
3462,Rodentia,Peromyscus mexicanus,42.58,124.92,NA,2.56,T
3463,Rodentia,Peromyscus nasutus,NA,NA,NA,NA,T
3464,Rodentia,Peromyscus ochraventer,40,NA,NA,4.86,T
3465,Rodentia,Peromyscus pectoralis,38.99,NA,0.002436912,3.88,T
3466,Rodentia,Peromyscus pembertoni,NA,NA,NA,NA,T
3467,Rodentia,Peromyscus perfulvus,40,NA,NA,2.79,T
3468,Rodentia,Peromyscus polionotus,14.27,NA,0.003254633,3.59,T
3469,Rodentia,Peromyscus polius,40,NA,NA,NA,T
3470,Rodentia,Peromyscus pseudocrinitus,NA,84,NA,NA,T
3471,Rodentia,Peromyscus sagax,NA,NA,NA,NA,T
3472,Rodentia,Peromyscus sejugis,21.5,98.7,NA,NA,T
3473,Rodentia,Peromyscus simulus,40,99.2,NA,NA,T
3474,Rodentia,Peromyscus slevini,NA,NA,NA,NA,T
3475,Rodentia,Peromyscus spicilegus,35.99,102.69,NA,NA,T
3476,Rodentia,Peromyscus stephani,NA,NA,NA,NA,T
3477,Rodentia,Peromyscus stirtoni,29.19,101.79,NA,2.38,T
3478,Rodentia,Peromyscus truei,27,NA,0.009130385,3.49,T
3479,Rodentia,Peromyscus winkelmanni,40,NA,NA,NA,T
3480,Rodentia,Peromyscus yucatanicus,27.13,100.69,NA,3,T
3481,Rodentia,Peromyscus zarhynchus,40,140,NA,1.94,T
3488,Rodentia,Petaurillus emiliae,NA,NA,NA,NA,T
3489,Rodentia,Petaurillus hosei,NA,78.5,NA,NA,T
3490,Rodentia,Petaurillus kinlochii,30.93,88.35,NA,NA,T
3491,Rodentia,Petaurista alborufus,1501.95,410,NA,NA,T
3492,Rodentia,Petaurista elegans,1040,398.02,NA,1,T
3493,Rodentia,Petaurista leucogenys,NA,NA,NA,NA,T
3494,Rodentia,Petaurista magnificus,1475.49,NA,NA,0.97,T
3495,Rodentia,Petaurista nobilis,NA,NA,NA,NA,T
3496,Rodentia,Petaurista petaurista,1533.84,411.99,NA,1,T
3497,Rodentia,Petaurista philippensis,1675.83,NA,NA,NA,T
3498,Rodentia,Petaurista xanthotis,NA,NA,NA,NA,T
3506,Rodentia,Petinomys crinitus,NA,248.99,NA,NA,T
3507,Rodentia,Petinomys fuscocapillus,794.5,NA,NA,2,T
3508,Rodentia,Petinomys genibarbis,108.81,177.99,NA,1.07,T
3509,Rodentia,Petinomys hageni,NA,248.99,NA,NA,T
3510,Rodentia,Petinomys lugens,NA,NA,NA,NA,T
3511,Rodentia,Petinomys mindanensis,NA,NA,NA,NA,T
3512,Rodentia,Petinomys sagitta,49.99,NA,NA,NA,T
3513,Rodentia,Petinomys setosus,43.85,118.64,NA,1.5,T
3514,Rodentia,Petinomys vordermanni,36.87,166.99,NA,2,T
3532,Rodentia,Petromus typicus,224,NA,NA,1.5,T
3533,Rodentia,Petromyscus barbouri,NA,NA,NA,NA,T
3534,Rodentia,Petromyscus collinus,20,NA,NA,2.46,T
3535,Rodentia,Petromyscus monticularis,20.72,NA,NA,NA,T
3536,Rodentia,Petromyscus shortridgei,NA,NA,NA,NA,T
3540,Rodentia,Phaenomys ferrugineus,93.8,NA,NA,NA,T
3541,Rodentia,Phaiomys leucurus,NA,NA,NA,1.94,T
3566,Rodentia,Phenacomys intermedius,25.2,107.67,NA,4.66,T
3567,Rodentia,Phenacomys ungava,27,NA,NA,4.8,T
3575,Rodentia,Phloeomys cumingi,1842.46,382.49,NA,1,T
3576,Rodentia,Phloeomys pallidus,1744.14,382.49,NA,NA,T
3322,Rodentia,Phodopus campbelli,27.06,91.22,NA,8.47,T
3323,Rodentia,Phodopus roborovskii,NA,72,NA,6.28,T
3324,Rodentia,Phodopus sungorus,30.43,79.76,NA,5.48,T
3330,Rodentia,Phyllomys blainvillii,243.3,NA,NA,NA,T
3331,Rodentia,Phyllomys brasiliensis,312.49,NA,NA,NA,T
3332,Rodentia,Phyllomys dasythrix,260,NA,NA,NA,T
3580,Rodentia,Phyllomys kerri,NA,NA,NA,NA,T
3581,Rodentia,Phyllomys lamarum,215.19,NA,NA,NA,T
3582,Rodentia,Phyllomys lundi,NA,NA,NA,NA,T
3583,Rodentia,Phyllomys mantiqueirensis,NA,NA,NA,NA,T
3584,Rodentia,Phyllomys medius,NA,NA,NA,NA,T
3585,Rodentia,Phyllomys nigrispinus,224.3,213.5,NA,NA,T
3586,Rodentia,Phyllomys pattoni,NA,NA,NA,NA,T
3587,Rodentia,Phyllomys thomasi,502.14,281.29,NA,NA,T
3588,Rodentia,Phyllomys unicolor,439,NA,NA,NA,T
3645,Rodentia,Phyllotis amicus,20.19,NA,NA,NA,T
3646,Rodentia,Phyllotis andium,53,NA,NA,NA,T
3647,Rodentia,Phyllotis bonariensis,42.5,NA,NA,NA,T
3648,Rodentia,Phyllotis caprinus,50.8,NA,NA,NA,T
3698,Rodentia,Phyllotis darwini,50.82,NA,NA,4.02,T
3699,Rodentia,Phyllotis definitus,89,NA,NA,NA,T
3700,Rodentia,Phyllotis haggardi,42.5,NA,NA,NA,T
3701,Rodentia,Phyllotis limatus,NA,NA,NA,NA,T
3702,Rodentia,Phyllotis magister,68.49,NA,NA,NA,T
3703,Rodentia,Phyllotis osgoodi,45.1,NA,NA,NA,T
3704,Rodentia,Phyllotis osilae,43.64,NA,NA,4.25,T
3705,Rodentia,Phyllotis wolffsohni,42.5,NA,NA,NA,T
3706,Rodentia,Phyllotis xanthopygus,52.43,121.2,NA,NA,T
3724,Rodentia,Pipanacoctomys aureus,NA,NA,NA,NA,T
3756,Rodentia,Pithecheir melanurus,NA,NA,NA,NA,T
3757,Rodentia,Pithecheir parvus,NA,NA,NA,2,T
3758,Rodentia,Pithecheirops otion,NA,NA,NA,NA,T
3764,Rodentia,Plagiodontia aedium,1268.86,300,NA,1.14,T
3765,Rodentia,Plagiodontia araeum,NA,NA,NA,NA,T
3766,Rodentia,Plagiodontia ipnaeum,NA,NA,NA,NA,T
3772,Rodentia,Platacanthomys lasiurus,NA,NA,NA,NA,T
3798,Rodentia,Podomys floridanus,30.74,103.18,0.002788764,2.6,T
3799,Rodentia,Podoxymys roraimae,33.79,NA,NA,NA,T
3802,Rodentia,Pogonomelomys bruijni,NA,176.19,NA,NA,T
3803,Rodentia,Pogonomelomys mayeri,111.97,144.56,NA,2.15,T
3804,Rodentia,Pogonomys championi,50.45,121.9,NA,2.15,T
3805,Rodentia,Pogonomys fergussoniensis,NA,NA,NA,NA,T
3806,Rodentia,Pogonomys loriae,95.39,136.12,NA,2.68,T
3807,Rodentia,Pogonomys macrourus,46.98,115.97,NA,2.81,T
3808,Rodentia,Pogonomys sylvestris,41.67,108.11,NA,2.64,T
3822,Rodentia,Praomys daltoni,34.99,NA,NA,5.44,T
3823,Rodentia,Praomys degraaffi,NA,NA,NA,NA,T
3824,Rodentia,Praomys delectorum,35.99,NA,NA,3.88,T
3825,Rodentia,Praomys derooi,32,NA,NA,3.75,T
3826,Rodentia,Praomys hartwigi,38.86,115,NA,3.49,T
3827,Rodentia,Praomys jacksoni,39.01,NA,NA,3.67,T
3828,Rodentia,Praomys lukolelae,42.2,NA,NA,NA,T
3829,Rodentia,Praomys minor,NA,NA,NA,NA,T
3830,Rodentia,Praomys misonnei,NA,NA,NA,NA,T
3831,Rodentia,Praomys morio,41.73,115,NA,3.28,T
3832,Rodentia,Praomys mutoni,NA,NA,NA,NA,T
3833,Rodentia,Praomys obscurus,NA,NA,NA,NA,T
3834,Rodentia,Praomys petteri,NA,NA,NA,NA,T
3835,Rodentia,Praomys rostratus,NA,NA,NA,NA,T
3836,Rodentia,Praomys tullbergi,37.1,101.58,0.001625591,3.36,T
3837,Rodentia,Praomys verschureni,NA,NA,NA,NA,T
3857,Rodentia,Prionomys batesi,12.5,NA,NA,NA,T
3597,Rodentia,Proechimys brevicauda,284.99,NA,0.004969113,NA,T
3598,Rodentia,Proechimys canicollis,312.57,NA,NA,NA,T
3599,Rodentia,Proechimys chrysaeolus,284.99,NA,NA,NA,T
3600,Rodentia,Proechimys cuvieri,339.85,NA,0.004517324,NA,T
3601,Rodentia,Proechimys decumanus,284.99,NA,NA,NA,T
3602,Rodentia,Proechimys echinothrix,NA,NA,NA,NA,T
3603,Rodentia,Proechimys gardneri,NA,NA,NA,NA,T
3604,Rodentia,Proechimys goeldii,284.99,NA,NA,NA,T
3605,Rodentia,Proechimys guairae,349.28,NA,0.006001134,2.79,T
3606,Rodentia,Proechimys guyannensis,314.03,220.16,0.001047581,2.16,T
3607,Rodentia,Proechimys hoplomyoides,284.99,NA,NA,NA,T
3608,Rodentia,Proechimys kulinae,NA,NA,NA,NA,T
3609,Rodentia,Proechimys longicaudatus,205,NA,0.002439947,NA,T
3610,Rodentia,Proechimys magdalenae,284.99,NA,NA,NA,T
3611,Rodentia,Proechimys mincae,284.99,NA,NA,NA,T
3612,Rodentia,Proechimys oconnelli,284.99,NA,NA,NA,T
3613,Rodentia,Proechimys pattoni,NA,NA,NA,NA,T
3614,Rodentia,Proechimys poliopus,284.99,NA,NA,NA,T
3615,Rodentia,Proechimys quadruplicatus,284.99,NA,NA,NA,T
3616,Rodentia,Proechimys roberti,284.99,NA,NA,NA,T
3617,Rodentia,Proechimys semispinosus,353.32,229.31,0.001730355,2.84,T
3618,Rodentia,Proechimys simonsi,284.99,NA,0.00365992,NA,T
3619,Rodentia,Proechimys steerei,284.99,NA,NA,NA,T
3620,Rodentia,Proechimys trinitatus,NA,NA,NA,NA,T
3621,Rodentia,Proechimys urichi,284.99,NA,NA,NA,T
3622,Rodentia,Proedromys bedfordi,NA,NA,NA,NA,T
3626,Rodentia,Prometheomys schaposchnikowi,75,NA,NA,3.4,T
3639,Rodentia,Prosciurillus abstrusus,NA,NA,NA,NA,T
3640,Rodentia,Prosciurillus leucomus,NA,NA,NA,NA,T
3641,Rodentia,Prosciurillus murinus,NA,NA,NA,NA,T
3642,Rodentia,Prosciurillus rosenbergii,NA,NA,NA,NA,T
3643,Rodentia,Prosciurillus weberi,NA,NA,NA,NA,T
3866,Rodentia,Protochromys fellowsi,78.99,142.75,NA,2.68,T
3867,Rodentia,Protoxerus aubinnii,427.94,265,NA,NA,T
3868,Rodentia,Protoxerus stangeri,630.43,291.36,NA,1.47,T
3870,Rodentia,Psammomys obesus,102.15,NA,NA,3.49,T
3871,Rodentia,Psammomys vexillaris,NA,NA,NA,NA,T
3892,Rodentia,Pseudohydromys ellermani,21.4,90.66,NA,NA,T
3893,Rodentia,Pseudohydromys fuscus,18.74,89.72,NA,NA,T
3894,Rodentia,Pseudohydromys murinus,16.79,89.43,NA,0.97,T
3895,Rodentia,Pseudohydromys occidentalis,21.9,101,NA,NA,T
3898,Rodentia,Pseudomys albocinereus,30.5,89.22,NA,3.89,T
3899,Rodentia,Pseudomys apodemoides,23.78,83.39,NA,4.9,T
3900,Rodentia,Pseudomys australis,52.97,121.8,NA,3,T
3901,Rodentia,Pseudomys bolami,15.5,NA,NA,NA,T
3902,Rodentia,Pseudomys calabyi,NA,NA,NA,NA,T
3903,Rodentia,Pseudomys chapmani,10.95,NA,0.05,NA,T
